id,type,node_color
NCBITaxon:100884,microbe,blue
NCBITaxon:103892,microbe,blue
NCBITaxon:1042156,microbe,blue
NCBITaxon:105841,microbe,blue
NCBITaxon:1063,microbe,blue
NCBITaxon:106590,microbe,blue
NCBITaxon:1078090,microbe,blue
NCBITaxon:1078091,microbe,blue
NCBITaxon:109790,microbe,blue
NCBITaxon:1130798,microbe,blue
NCBITaxon:1160721,microbe,blue
NCBITaxon:116085,microbe,blue
NCBITaxon:1203555,microbe,blue
NCBITaxon:1203593,microbe,blue
NCBITaxon:1226325,microbe,blue
NCBITaxon:1245,microbe,blue
NCBITaxon:1246,microbe,blue
NCBITaxon:1249,microbe,blue
NCBITaxon:1254,microbe,blue
NCBITaxon:1255,microbe,blue
NCBITaxon:1265,microbe,blue
NCBITaxon:1280,microbe,blue
NCBITaxon:1296,microbe,blue
NCBITaxon:1308,microbe,blue
NCBITaxon:1309,microbe,blue
NCBITaxon:1322,microbe,blue
NCBITaxon:13335,microbe,blue
NCBITaxon:1338,microbe,blue
NCBITaxon:1351,microbe,blue
NCBITaxon:1352,microbe,blue
NCBITaxon:1355477,microbe,blue
NCBITaxon:1358,microbe,blue
NCBITaxon:1382,microbe,blue
NCBITaxon:1396,microbe,blue
NCBITaxon:1398,microbe,blue
NCBITaxon:1399,microbe,blue
NCBITaxon:1406,microbe,blue
NCBITaxon:1422,microbe,blue
NCBITaxon:1423,microbe,blue
NCBITaxon:142586,microbe,blue
NCBITaxon:1426,microbe,blue
NCBITaxon:1428,microbe,blue
NCBITaxon:1488,microbe,blue
NCBITaxon:1490,microbe,blue
NCBITaxon:1491,microbe,blue
NCBITaxon:1492,microbe,blue
NCBITaxon:1493,microbe,blue
NCBITaxon:1496,microbe,blue
NCBITaxon:1501,microbe,blue
NCBITaxon:1505,microbe,blue
NCBITaxon:1506,microbe,blue
NCBITaxon:1509,microbe,blue
NCBITaxon:1511,microbe,blue
NCBITaxon:1515,microbe,blue
NCBITaxon:1517,microbe,blue
NCBITaxon:1519,microbe,blue
NCBITaxon:1520,microbe,blue
NCBITaxon:1521,microbe,blue
NCBITaxon:1526,microbe,blue
NCBITaxon:1537,microbe,blue
NCBITaxon:1540,microbe,blue
NCBITaxon:1547,microbe,blue
NCBITaxon:1548,microbe,blue
NCBITaxon:1550,microbe,blue
NCBITaxon:157673,microbe,blue
NCBITaxon:1580,microbe,blue
NCBITaxon:1583,microbe,blue
NCBITaxon:1584,microbe,blue
NCBITaxon:1587,microbe,blue
NCBITaxon:1588,microbe,blue
NCBITaxon:1590,microbe,blue
NCBITaxon:1596,microbe,blue
NCBITaxon:1597,microbe,blue
NCBITaxon:1598,microbe,blue
NCBITaxon:1613,microbe,blue
NCBITaxon:1623,microbe,blue
NCBITaxon:1624,microbe,blue
NCBITaxon:165179,microbe,blue
NCBITaxon:1665,microbe,blue
NCBITaxon:1681,microbe,blue
NCBITaxon:168384,microbe,blue
NCBITaxon:1686,microbe,blue
NCBITaxon:1689,microbe,blue
NCBITaxon:1718,microbe,blue
NCBITaxon:1732,microbe,blue
NCBITaxon:1736,microbe,blue
NCBITaxon:1744,microbe,blue
NCBITaxon:1747,microbe,blue
NCBITaxon:1748,microbe,blue
NCBITaxon:1772,microbe,blue
NCBITaxon:1773,microbe,blue
NCBITaxon:178606,microbe,blue
NCBITaxon:1829,microbe,blue
NCBITaxon:1833,microbe,blue
NCBITaxon:187327,microbe,blue
NCBITaxon:187400,microbe,blue
NCBITaxon:1902,microbe,blue
NCBITaxon:192,microbe,blue
NCBITaxon:2021,microbe,blue
NCBITaxon:204038,microbe,blue
NCBITaxon:210,microbe,blue
NCBITaxon:216816,microbe,blue
NCBITaxon:217159,microbe,blue
NCBITaxon:2203,microbe,blue
NCBITaxon:2223,microbe,blue
NCBITaxon:2317,microbe,blue
NCBITaxon:239935,microbe,blue
NCBITaxon:244366,microbe,blue
NCBITaxon:255723,microbe,blue
NCBITaxon:2748,microbe,blue
NCBITaxon:28025,microbe,blue
NCBITaxon:28116,microbe,blue
NCBITaxon:28141,microbe,blue
NCBITaxon:28446,microbe,blue
NCBITaxon:28450,microbe,blue
NCBITaxon:28454,microbe,blue
NCBITaxon:287,microbe,blue
NCBITaxon:28901,microbe,blue
NCBITaxon:292800,microbe,blue
NCBITaxon:29347,microbe,blue
NCBITaxon:29385,microbe,blue
NCBITaxon:294,microbe,blue
NCBITaxon:29438,microbe,blue
NCBITaxon:29466,microbe,blue
NCBITaxon:29523,microbe,blue
NCBITaxon:296,microbe,blue
NCBITaxon:303,microbe,blue
NCBITaxon:306,microbe,blue
NCBITaxon:312306,microbe,blue
NCBITaxon:317,microbe,blue
NCBITaxon:32046,microbe,blue
NCBITaxon:32049,microbe,blue
NCBITaxon:329,microbe,blue
NCBITaxon:33010,microbe,blue
NCBITaxon:33035,microbe,blue
NCBITaxon:33038,microbe,blue
NCBITaxon:33043,microbe,blue
NCBITaxon:33059,microbe,blue
NCBITaxon:33996,microbe,blue
NCBITaxon:34015,microbe,blue
NCBITaxon:341225,microbe,blue
NCBITaxon:358,microbe,blue
NCBITaxon:35841,microbe,blue
NCBITaxon:360807,microbe,blue
NCBITaxon:364410,microbe,blue
NCBITaxon:36745,microbe,blue
NCBITaxon:36832,microbe,blue
NCBITaxon:36839,microbe,blue
NCBITaxon:36841,microbe,blue
NCBITaxon:36847,microbe,blue
NCBITaxon:37734,microbe,blue
NCBITaxon:38289,microbe,blue
NCBITaxon:38308,microbe,blue
NCBITaxon:384,microbe,blue
NCBITaxon:392009,microbe,blue
NCBITaxon:392409,microbe,blue
NCBITaxon:392412,microbe,blue
NCBITaxon:393060,microbe,blue
NCBITaxon:39488,microbe,blue
NCBITaxon:39490,microbe,blue
NCBITaxon:39491,microbe,blue
NCBITaxon:40518,microbe,blue
NCBITaxon:40520,microbe,blue
NCBITaxon:405212,microbe,blue
NCBITaxon:410072,microbe,blue
NCBITaxon:411484,microbe,blue
NCBITaxon:411486,microbe,blue
NCBITaxon:411489,microbe,blue
NCBITaxon:435,microbe,blue
NCBITaxon:442,microbe,blue
NCBITaxon:446660,microbe,blue
NCBITaxon:450749,microbe,blue
NCBITaxon:457387,microbe,blue
NCBITaxon:457390,microbe,blue
NCBITaxon:457391,microbe,blue
NCBITaxon:457392,microbe,blue
NCBITaxon:457394,microbe,blue
NCBITaxon:457395,microbe,blue
NCBITaxon:457396,microbe,blue
NCBITaxon:457412,microbe,blue
NCBITaxon:457416,microbe,blue
NCBITaxon:457421,microbe,blue
NCBITaxon:46506,microbe,blue
NCBITaxon:469585,microbe,blue
NCBITaxon:469588,microbe,blue
NCBITaxon:469589,microbe,blue
NCBITaxon:469590,microbe,blue
NCBITaxon:469591,microbe,blue
NCBITaxon:469592,microbe,blue
NCBITaxon:469593,microbe,blue
NCBITaxon:469610,microbe,blue
NCBITaxon:469613,microbe,blue
NCBITaxon:470,microbe,blue
NCBITaxon:471189,microbe,blue
NCBITaxon:47678,microbe,blue
NCBITaxon:487,microbe,blue
NCBITaxon:4932,microbe,blue
NCBITaxon:4950,microbe,blue
NCBITaxon:498718,microbe,blue
NCBITaxon:501571,microbe,blue
NCBITaxon:502558,microbe,blue
NCBITaxon:51669,microbe,blue
NCBITaxon:52226,microbe,blue
NCBITaxon:542,microbe,blue
NCBITaxon:544644,microbe,blue
NCBITaxon:544645,microbe,blue
NCBITaxon:546,microbe,blue
NCBITaxon:548,microbe,blue
NCBITaxon:549,microbe,blue
NCBITaxon:550,microbe,blue
NCBITaxon:552396,microbe,blue
NCBITaxon:552398,microbe,blue
NCBITaxon:556259,microbe,blue
NCBITaxon:556261,microbe,blue
NCBITaxon:562,microbe,blue
NCBITaxon:563193,microbe,blue
NCBITaxon:57037,microbe,blue
NCBITaxon:571,microbe,blue
NCBITaxon:572010,microbe,blue
NCBITaxon:573,microbe,blue
NCBITaxon:57706,microbe,blue
NCBITaxon:584,microbe,blue
NCBITaxon:585,microbe,blue
NCBITaxon:585544,microbe,blue
NCBITaxon:615,microbe,blue
NCBITaxon:626935,microbe,blue
NCBITaxon:626937,microbe,blue
NCBITaxon:626940,microbe,blue
NCBITaxon:628,microbe,blue
NCBITaxon:644,microbe,blue
NCBITaxon:658082,microbe,blue
NCBITaxon:658087,microbe,blue
NCBITaxon:658089,microbe,blue
NCBITaxon:658655,microbe,blue
NCBITaxon:658659,microbe,blue
NCBITaxon:659,microbe,blue
NCBITaxon:661,microbe,blue
NCBITaxon:665943,microbe,blue
NCBITaxon:665951,microbe,blue
NCBITaxon:67854,microbe,blue
NCBITaxon:68895,microbe,blue
NCBITaxon:69823,microbe,blue
NCBITaxon:69962,microbe,blue
NCBITaxon:72000,microbe,blue
NCBITaxon:729,microbe,blue
NCBITaxon:74426,microbe,blue
NCBITaxon:80866,microbe,blue
NCBITaxon:817,microbe,blue
