PUBCHEM.COMPOUND:643975	NCBIGene:3712
PUBCHEM.COMPOUND:5988	NCBIGene:9311
PUBCHEM.COMPOUND:312	NCBIGene:54512
PUBCHEM.COMPOUND:5957	NCBIGene:7844
PUBCHEM.COMPOUND:644109	NCBIGene:2181
PUBCHEM.COMPOUND:783	NCBIGene:57406
PUBCHEM.COMPOUND:5951	NCBIGene:5708
PUBCHEM.COMPOUND:311	NCBIGene:29880
PUBCHEM.COMPOUND:6322	NCBIGene:351
PUBCHEM.COMPOUND:444795	NCBIGene:8290
PUBCHEM.COMPOUND:977	NCBIGene:2158
PUBCHEM.COMPOUND:753	NCBIGene:3035
PUBCHEM.COMPOUND:71077	NCBIGene:3053
PUBCHEM.COMPOUND:439230	NCBIGene:3652
PUBCHEM.COMPOUND:175	NCBIGene:8972
PUBCHEM.COMPOUND:9903	NCBIGene:3779
PUBCHEM.COMPOUND:196	NCBIGene:23410
PUBCHEM.COMPOUND:5202	NCBIGene:196883
PUBCHEM.COMPOUND:5885	NCBIGene:952
PUBCHEM.COMPOUND:5892	NCBIGene:144193
PUBCHEM.COMPOUND:312	NCBIGene:8226
PUBCHEM.COMPOUND:444493	NCBIGene:5161
PUBCHEM.COMPOUND:6076	NCBIGene:5911
PUBCHEM.COMPOUND:5957	NCBIGene:56903
PUBCHEM.COMPOUND:6083	NCBIGene:5129
PUBCHEM.COMPOUND:222	NCBIGene:54101
PUBCHEM.COMPOUND:5462244	NCBIGene:64127
PUBCHEM.COMPOUND:5957	NCBIGene:2065
PUBCHEM.COMPOUND:5957	NCBIGene:9415
PUBCHEM.COMPOUND:753	NCBIGene:51455
PUBCHEM.COMPOUND:1117	NCBIGene:5164
PUBCHEM.COMPOUND:896	NCBIGene:3354
PUBCHEM.COMPOUND:192	NCBIGene:1938
PUBCHEM.COMPOUND:783	NCBIGene:9588
PUBCHEM.COMPOUND:7991	NCBIGene:551
PUBCHEM.COMPOUND:1110	NCBIGene:55033
PUBCHEM.COMPOUND:1172	NCBIGene:2592
PUBCHEM.COMPOUND:33032	NCBIGene:718
PUBCHEM.COMPOUND:444493	NCBIGene:1962
PUBCHEM.COMPOUND:60961	NCBIGene:259294
PUBCHEM.COMPOUND:124886	NCBIGene:2923
PUBCHEM.COMPOUND:10258	NCBIGene:348932
PUBCHEM.COMPOUND:753	NCBIGene:122481
PUBCHEM.COMPOUND:6287	NCBIGene:5718
PUBCHEM.COMPOUND:783	NCBIGene:3717
PUBCHEM.COMPOUND:16500	NCBIGene:2998
PUBCHEM.COMPOUND:447272	NCBIGene:79695
PUBCHEM.COMPOUND:5280934	NCBIGene:1387
PUBCHEM.COMPOUND:1117	NCBIGene:54583
PUBCHEM.COMPOUND:24621	NCBIGene:6521
PUBCHEM.COMPOUND:712	NCBIGene:3600
PUBCHEM.COMPOUND:311	NCBIGene:10901
PUBCHEM.COMPOUND:1117	NCBIGene:8928
PUBCHEM.COMPOUND:263	NCBIGene:257629
PUBCHEM.COMPOUND:1050	NCBIGene:1491
PUBCHEM.COMPOUND:442424	NCBIGene:3162
PUBCHEM.COMPOUND:712	NCBIGene:7442
PUBCHEM.COMPOUND:187	NCBIGene:8811
PUBCHEM.COMPOUND:6322	NCBIGene:2767
PUBCHEM.COMPOUND:283	NCBIGene:221914
PUBCHEM.COMPOUND:6031	NCBIGene:4060
PUBCHEM.COMPOUND:51	NCBIGene:1738
PUBCHEM.COMPOUND:1051	NCBIGene:55034
PUBCHEM.COMPOUND:312	NCBIGene:270
PUBCHEM.COMPOUND:445638	NCBIGene:7976
PUBCHEM.COMPOUND:6022	NCBIGene:1983
PUBCHEM.COMPOUND:34755	NCBIGene:84274
PUBCHEM.COMPOUND:5957	NCBIGene:10575
PUBCHEM.COMPOUND:5280961	NCBIGene:5054
PUBCHEM.COMPOUND:92824	NCBIGene:55268
PUBCHEM.COMPOUND:896	NCBIGene:1269
PUBCHEM.COMPOUND:6022	NCBIGene:9551
PUBCHEM.COMPOUND:6022	NCBIGene:6776
PUBCHEM.COMPOUND:439520	NCBIGene:29881
PUBCHEM.COMPOUND:875	NCBIGene:112755
PUBCHEM.COMPOUND:5994	NCBIGene:2641
PUBCHEM.COMPOUND:311	NCBIGene:7040
PUBCHEM.COMPOUND:5780	NCBIGene:213
PUBCHEM.COMPOUND:444972	NCBIGene:30811
PUBCHEM.COMPOUND:753	NCBIGene:1937
PUBCHEM.COMPOUND:322	NCBIGene:5742
PUBCHEM.COMPOUND:283	NCBIGene:2167
PUBCHEM.COMPOUND:6022	NCBIGene:1131
PUBCHEM.COMPOUND:8988	NCBIGene:223
PUBCHEM.COMPOUND:189122	NCBIGene:2098
PUBCHEM.COMPOUND:25701	NCBIGene:2895
PUBCHEM.COMPOUND:439373	NCBIGene:2936
PUBCHEM.COMPOUND:681	NCBIGene:1621
PUBCHEM.COMPOUND:5789	NCBIGene:2064
PUBCHEM.COMPOUND:637090	NCBIGene:2167
PUBCHEM.COMPOUND:7427	NCBIGene:29121
PUBCHEM.COMPOUND:60961	NCBIGene:6363
PUBCHEM.COMPOUND:6022	NCBIGene:5871
PUBCHEM.COMPOUND:967	NCBIGene:51706
PUBCHEM.COMPOUND:5202	NCBIGene:2520
PUBCHEM.COMPOUND:6267	NCBIGene:5694
PUBCHEM.COMPOUND:33032	NCBIGene:10886
PUBCHEM.COMPOUND:6083	NCBIGene:8460
PUBCHEM.COMPOUND:875	NCBIGene:4905
PUBCHEM.COMPOUND:312	NCBIGene:7167
PUBCHEM.COMPOUND:439153	NCBIGene:23171
PUBCHEM.COMPOUND:6083	NCBIGene:167227
PUBCHEM.COMPOUND:6083	NCBIGene:81844
PUBCHEM.COMPOUND:441	NCBIGene:1236
PUBCHEM.COMPOUND:783	NCBIGene:26007
PUBCHEM.COMPOUND:5870	NCBIGene:2099
PUBCHEM.COMPOUND:5957	NCBIGene:121441
PUBCHEM.COMPOUND:1084	NCBIGene:317749
PUBCHEM.COMPOUND:774	NCBIGene:10850
PUBCHEM.COMPOUND:174	NCBIGene:2356
PUBCHEM.COMPOUND:312	NCBIGene:5395
PUBCHEM.COMPOUND:5957	NCBIGene:3093
PUBCHEM.COMPOUND:6083	NCBIGene:27010
PUBCHEM.COMPOUND:6083	NCBIGene:10533
PUBCHEM.COMPOUND:1117	NCBIGene:2120
