name	mondo	mesh
meningococcal disease	MONDO:0005373	
"hand, foot and mouth disease"	MONDO:0005779	
postmenopausal		MESH:D017698
cholestasis	MONDO:0001751	
irritable bowel syndrome	MONDO:0005052	
lung cancer	MONDO:0008903	
constipation	MONDO:0002203	
seborrheic dermatitis	MONDO:0006608	
diarrhea	MONDO:0001673	
pemphigus vulgaris	MONDO:0008219	
transient ischemic attack	MONDO:0005264	
tetratricopeptide repeat domain 7a deficiency	MONDO:0009465	
influenza a	MONDO:0005812	
frailty		MESH:D000073496
gestational diabetes	MONDO:0005406	
colorectal cancer	MONDO:0005575	
barrett's oesophagus	MONDO:0013662	
silicosis	MONDO:0005960	
rheumatoid arthritis	MONDO:0008383	
giardia intestinalis infection	MONDO:0001103	
oligoasthenoteratozoospermia	MONDO:0850098	
spondyloarthritis	MONDO:0005095	
chronic kidney disease	MONDO:0005300	
pediculosis	MONDO:0003472	
parkinson's disease	MONDO:0005180	
allergic asthma	MONDO:0004784	
migraine	MONDO:0005277	
fatigue	MONDO:0005404	
cirrhosis	MONDO:0005155	
reflux esophagitis	MONDO:0006896	
recurrent tonsillitis	MONDO:0001039	
chagas' disease	MONDO:0001444	
periodontal disease	MONDO:0002635	
protracted bacterial bronchitis	MONDO:0003781	
caries	MONDO:0005276	
alcoholic hepatitis	MONDO:0001505	
sicca syndrome	MONDO:0010030	
idiopathic focal epilepsy	MONDO:0006710	
hidradenitis suppurativa	MONDO:0006559	
invasive pneumococcal disease	MONDO:0011888	
sjögren syndrome	MONDO:0015356	
granulomatosis with polyangiitis	MONDO:0012105	
ankylosing spondylitis	MONDO:0005306	
vestibulodynia	MONDO:0021722	
chronic lung disease	MONDO:0005002	
hyper ige syndrome	MONDO:0018037	
oropharyngeal cancer	MONDO:0044926	
rectal carcinoma	MONDO:0044937	
collagenous colitis	MONDO:0000703	
schizophrenia	MONDO:0005090	
covid-19	MONDO:0100096	
oral cancer	MONDO:0005515	
thyroid carcinoma	MONDO:0015075	
osteoporosis	MONDO:0005298	
allergy	MONDO:0000771	
hyperlipidemia	MONDO:0021187	
atopic eczema	MONDO:0004980	
idiopathic rem sleep behavior disorder	MONDO:0005937	
oral leukoplakia	MONDO:0004844	
gastro-oesophageal reflux disease	MONDO:0007186	
multiple sclerosis	MONDO:0005301	
pressure ulcers	MONDO:0043839	
folliculitis decalvans	MONDO:0018103	
metabolic syndrome	MONDO:0011565	
endometriosis	MONDO:0005133	
chronic rhinosinusitis with asthma	MONDO:0006031	
colon adenomas	MONDO:0000527	
human papilloma virus infection	MONDO:0005161	
generalized anxiety disorder	MONDO:0001942	
laryngotracheal stenosis	MONDO:7688	
chronic obstructive pulmonary disease	MONDO:0005002	
acquired immunodeficiency syndrome	MONDO:0012268	
overactive bladder	MONDO:6624	
hepatitis b associated liver failure	MONDO:18109	
atherosclerosis	MONDO:0005311	
hypertension	MONDO:0005044	
neuromyelitis optica	MONDO:0019100	
viral respiratory tract infection	MONDO:24352	
osteoarthritis	MONDO:0005178	
juvenile idiopathic arthritis	MONDO:11429	
t2d with hypertension	MONDO:5148	
dandruff	MONDO:24343	
appendicitis	MONDO:0005649	
heart failure	MONDO:5252	
primary liver cancer	MONDO:2691	
trichomonas vaginalis infection	MONDO:5993	
"celiac disease, coaliac disease"	MONDO:5130	
obstructive sleep apnea-hypopnea syndrome	MONDO:7147	
idiopathic nephrotic syndrome	MONDO:18170	
bronchiectasis	MONDO:0004822	
necrotizing enterocolitis	MONDO:5313	
atopic dermatitis	MONDO:0004980	
colon polyps	MONDO:100290	
neisseria gonorrhoeae infection	MONDO:21160	
oral lichen planus	MONDO:43923	
smoking		MESH:D012907
vulvodynia	MONDO:21722	
