metabolite	pubchem	chebi	ccsd
C00125	PUBCHEM.SUBSTANCE:3425	CHEBI:15991	
C00126	PUBCHEM.SUBSTANCE:3426	CHEBI:16928	
C00138	PUBCHEM.SUBSTANCE:3438	CHEBI:17513	
C00139	PUBCHEM.SUBSTANCE:3439	CHEBI:17908	
C00182	PUBCHEM.SUBSTANCE:3482	CHEBI:28087	
C00342	PUBCHEM.SUBSTANCE:3635	CHEBI:15033	
C00478	PUBCHEM.SUBSTANCE:3761	CHEBI:6452	
C00569	PUBCHEM.SUBSTANCE:3848	CHEBI:27569	
C00856	PUBCHEM.SUBSTANCE:4113		
C00930	PUBCHEM.SUBSTANCE:4183	CHEBI:50699	
C01242	PUBCHEM.SUBSTANCE:4463	CHEBI:16882	
C01271	PUBCHEM.SUBSTANCE:4490		
C01641	PUBCHEM.SUBSTANCE:4790	CHEBI:29175	
C02051	PUBCHEM.SUBSTANCE:5140	CHEBI:15804	
C02315	PUBCHEM.SUBSTANCE:5369	CHEBI:17999	
C02474	PUBCHEM.SUBSTANCE:5489	CHEBI:22590	
C02582	PUBCHEM.SUBSTANCE:5577	CHEBI:16249	
C02967	PUBCHEM.SUBSTANCE:5881		
C02972	PUBCHEM.SUBSTANCE:5884	CHEBI:16194	
C02987	PUBCHEM.SUBSTANCE:5896	CHEBI:29157	
C03323	PUBCHEM.SUBSTANCE:6172	CHEBI:15443	
C03454	PUBCHEM.SUBSTANCE:6274		
C04246	PUBCHEM.SUBSTANCE:6911		
C04419	PUBCHEM.SUBSTANCE:7051		
C04619	PUBCHEM.SUBSTANCE:7209		
C04620	PUBCHEM.SUBSTANCE:7210		
C04688	PUBCHEM.SUBSTANCE:7269		
C05223	PUBCHEM.SUBSTANCE:7620		
C05357	PUBCHEM.SUBSTANCE:7734	CHEBI:7833	
C05358	PUBCHEM.SUBSTANCE:7735	CHEBI:8787	
C05535	PUBCHEM.SUBSTANCE:7876	CHEBI:10211	
C05737	PUBCHEM.SUBSTANCE:8036		
C05746	PUBCHEM.SUBSTANCE:8041	CHEBI:1642	
C05747	PUBCHEM.SUBSTANCE:8042	CHEBI:326	
C05748	PUBCHEM.SUBSTANCE:8043	CHEBI:10727	
C05750	PUBCHEM.SUBSTANCE:8045	CHEBI:1646	
C05751	PUBCHEM.SUBSTANCE:8046		
C05753	PUBCHEM.SUBSTANCE:8048	CHEBI:1634	
C05754	PUBCHEM.SUBSTANCE:8049	CHEBI:10724	
C05756	PUBCHEM.SUBSTANCE:8051	CHEBI:1637	
C05757	PUBCHEM.SUBSTANCE:8052	CHEBI:325	
C05758	PUBCHEM.SUBSTANCE:8053	CHEBI:10725	
C05759	PUBCHEM.SUBSTANCE:8054	CHEBI:1655	
C05760	PUBCHEM.SUBSTANCE:8055	CHEBI:10735	
C05763	PUBCHEM.SUBSTANCE:8058	CHEBI:10729	
C05933	PUBCHEM.SUBSTANCE:8221	CHEBI:7101	
C06020	PUBCHEM.SUBSTANCE:8292		
C06021	PUBCHEM.SUBSTANCE:8293	CHEBI:33913	
C06250	PUBCHEM.SUBSTANCE:8489		
C11482	PUBCHEM.SUBSTANCE:13652	CHEBI:5743	
C15653	PUBCHEM.SUBSTANCE:17396642	CHEBI:80004	
C16220	PUBCHEM.SUBSTANCE:47205528	CHEBI:80387	
C16221	PUBCHEM.SUBSTANCE:47205529	CHEBI:80388	
C19692	PUBCHEM.SUBSTANCE:135626160		
C19846	PUBCHEM.SUBSTANCE:135626313		
C20375	PUBCHEM.SUBSTANCE:163312113		
G00027			CARBBANK:48731
G00035			CARBBANK:49610
G02055			CARBBANK:16020
G03769			CARBBANK:45945
G06506			CARBBANK:1289
G09800			CARBBANK:719
G10130			CARBBANK:17633
G11598	PUBCHEM.SUBSTANCE:4934	CHEBI:17020	
C00805	PUBCHEM.COMPOUND:338		
C00013	PUBCHEM.COMPOUND:1023		
C05662	PUBCHEM.COMPOUND:5460287		
C00127	PUBCHEM.COMPOUND:65359		
C06697	PUBCHEM.COMPOUND:544		
